Nombre,Fechas,Dinastías
Periodo Tinita,"3000-2593 a. C","I y II"
Reino Antiguo,"2592-2160 a. C","III-VI"
Primer Periodo Intermedio,"2160-2000 a. C","VII-XI"
Reino Medio,"2130-1800 a. C","XI y XII"
Segundo Periodo Intermedio,"1799-1554 a. C","XIII-XVII"
Reino Nuevo,"1553-1077 a. C","XVIII-XX"
Tercer Periodo Intermedio,"1070-656 a. C","XXI-XXV"
Época Baja,"656-332 a. C","XXVI-XXXI"
Época Helenística,"332-30 a. C",Ptolemaica
